amebowaty	ameba
kubkowaty	kubek
schodkowaty	schodki
jamnikowaty	jamnik
śrubowaty	śruba
śrubkowaty	śrubka
bufonowaty	bufon
matołkowaty	matołek
ananasowaty	ananas
świniopodobny	świnia
ananasowy	ananas
ogórkowaty	ogórek
truflowaty	trufla
pieprzowaty	pieprz
poduchowaty	poducha
poduchowaty	poducha
słodowy	słód
buraczany	burak
rynsztokowy	rynsztok
czosnkowy	czosnek
ogórkowy	ogórek
cytrusowy	cytrus
grejpfrutowy	grejpfrut
grapefruitowy	grapefruit
jabłkowy	jabłko
jagodowy	jagoda
pomarańczowy	pomarańcza
poziomkowy	poziomka
truskawkowy	truskawka
truskawkowy	truskawka
marmurowy	marmur
poliestrowy	poliester
plastikowy	plastik
chemiczny	chemia
chemiczny	chemia
dziobowaty	dziób
mozaikowy	mozaika
piosenkowy	piosenka
oratorski	orator
krasomówczy	krasomówca
sowizdrzalski	sowizdrzał
mopsowaty	mops
paciorkowy	paciorek
łodygowaty	łodyga
kopiaty	kopa
gogusiowaty	goguś
survivalowy	survival
pokrzywkowy	pokrzywka
ospowy	ospa
lnianowłosy	len
słomianowłosy	słoma
rumieniowaty	rumień
niedźwiedzi	niedźwiedź
niedźwiedzi	niedźwiedź
grzybkowaty	grzybek
pergaminowaty	pergamin
heraklitowy	Heraklit
wampirzy	wampir
wałkowaty	wałek
steroidowy	steroid
guziczkowaty	guziczek
trupioblady	trup
widełkowy	widełki
groniasty	grono
edypalny	Edyp
bruzdowaty	bruzda
truflowy	trufla
truflowy	trufla
koźlonogi	kozioł
truflowaty	trufla
pieprzowaty	pieprz
ciotowaty	ciota
truflowy	trufla
truflowaty	trufla
truflowy	trufla
perłowy	masa perłowa
bulionowy	bulion
karmelowy	karmel
wielokątny	wielokąt
karmelowy	karmel
żakardowy	żakard
kulistawy	kula
trawiastozielony	trawa
płytkowaty	płytka
arystotelesowy	Arystoteles
tasiemcowaty	tasiemiec
łupkowaty	łupek
modliszkowaty	modliszka
balonowaty	balon
wiosłowaty	wiosło
małpowaty	małpa
frędzelkowaty	frędzelek
deskowaty	deska
tarczkowaty	tarczka
ilasty	ił
mchowaty	mech
skunksowy	skunks
palcowaty	palec
ochrowy	ochra
ugrowy	ugier
socjobiologiczny	socjobiologia
cisawy	cis
batikowy	batik
szczeciniasty	szczecina
popiołowy	popiół
sterydowy	steryd
mickiewiczowy	Mickiewicz
świecowy	świeca
herbaciany	herbata
herbaciany	herbata
szablisty	szabla
muszelkowaty	muszelka
bańkowaty	bańka
szyszkowy	szyszka
szyszkowy	szyszka
żebrowaty	żebro
tabliczkowy	tabliczka
syropowaty	syrop
pucharowy	puchar
serowy	ser
moczarowaty	moczar
pustynny	pustynia
grypowy	grypa
sarkofagowy	sarkofag
pawilonowy	pawilon
szałasowy	szałas
księżycowy	Księżyc
rzodkiewkowy	rzodkiewka
babkowaty	babka
polipowaty	polip
babkowaty	babka
babkowaty	babka
baldaszkowaty	baldaszek
jaskrowy	jaskra
szajsowaty	szajs
badziewny	badziewie
płomienisty	płomień
laurkowy	laurka
selerowy	seler
szałasowy	szałas
płatkowaty	płatek
tumanowaty	tuman
mangowy	mango
półciężarowy	półciężarówka
proszkowaty	proszek
rozetkowaty	rozetka
gadzi	gad
kaszowaty	kasza
kołtunowaty	kołtun
narcyzowaty	narcyz
jaszczurzy	jaszczur
krokodyli	krokodyl
lamparci	lampart
lamparci	lampart
ropuszy	ropucha
rysi	ryś
drozdowaty	drozd
szczupaczy	szczupak
dzbankowaty	dzbanek
kulkowaty	kulka
mrukowaty	mruk
milczkowaty	milczek
zamszowaty	zamsz
zamszowaty	zamsz
kundlowaty	kundel
kundlowaty	kundel
wałowaty	wał
wałowaty	wał
łękowaty	łęk
gulaszowy	gulasz
fotograficzny	fotografia
samotniczy	samotnik
siarkowożółty	siarka
kopertowy	koperta
kopertowy	koperta
koszulowy	koszula
babkowaty	babka
meteoryczny	meteor
medalionowy	medalion
medalionowy	medalion
klajstrowaty	klajster
talerzykowaty	talerzyk
bułowaty	buła
bułowaty	buła
bułowaty	buła
człeczy	człowiek
aroniowy	aronia
denimowy	denim
jeansowy	jeans
iłowy	ił
koniowaty	koń
polipowaty	polip
brokatowy	brokat
cykoriowy	cykoria
daktylowy	daktyl
pucaty	puca
bananowaty	banan
gryzoniowaty	gryzoń
watowaty	wata
brokułowy	brokuł
szpinakowy	szpinak
jagnięcy	jagnię
karbunkułowy	karbunkuł
ziemniaczany	ziemniak
kartoflany	kartofel
gardzielowy	gardziel
gardzielowy	gardziel
koprowy	kopr
kukurydziany	kukurydza
manganowy	mangan
żelatynowaty	żelatyna
