dyktowy	dykta
smołowcowy	smołowiec
smołowcowy	smołowiec
paździerzowy	paździerz
bentonitowy	bentonit
kortowy	kort
kurzy	kura
kurzy	kura
wazelinowy	wazelina
bibułowy	bibuła
tkaninowy	tkanina
fosforytowy	fosforyt
keczupowy	keczup
propylenowy	propylen
syberynowy	syberyna
sylikonowy	sylikon
dakronowy	dakron
dacronowy	dacron
czeczotkowy	czeczotka
czeczotowy	czeczota
konglomeratowy	konglomerat
tetrowy	tetra
fornirowy	fornir
fornierowy	fornier
serwetkowy	serwetka
tykwowy	tykwa
grylażowy	grylaż
grelażowy	grelaż
bułatowy	bułat
chinolinowy	chinolina
galaretkowy	galaretka
rydzowy	rydz
hortensjowy	hortensja
ichtiolowy	ichtiol
indowy	ind
kwiatkowy	kwiatek
jajkowy	jajko
jałowiczy	jałowica
drewny	drewno
muszelkowy	muszelka
muszelkowy	muszelka
kajmakowy	kajmak
kamykowy	kamyk
kamykowy	kamyk
łabędziowy	łabędź
łabędzi	łabędź
łogowy	łogowa
boczkowy	boczek
senesowy	senes
sierakowy	sierak
omanowy	oman
tlenowy	tlen
ozorkowy	ozorek
skórowy	skóra
słomowy	słoma
gurowy	gur
marcypanowy	marcypan
marcypanowy	marcepan
margarynowy	margaryna
maślankowy	maślanka
perzowy	perz
nitkowy	nitka
wiesiołkowy	wiesiołek
menilitowy	menilit
micelarny	micela
miniowy	minia
kitowy	kit
zacierkowy	zacierka
nitkowy	nitka
szynszylowy	szynszyla
dżetowy	dżet
gagatowy	gagat
frywolitkowy	frywolitka
boksowy	boks
łuszczkowy	łuszczka
żytny	żyto
sznurowy	sznur
żyłkowy	żyłka
ręcznikowy	ręcznik
rogożynowy	rogożyna
czterojajeczny	jajko
kwarkowy	kwark
francuski	ciasto francuskie
terpentynowy	terpentyna
glicerolowy	glicerol
ciastowy	ciasto
ciastowy	ciasto
musowy	mus
tytoniowy	tytoń
landrynkowy	landrynka
gówniany	gówno
ziemny	ziemia
żółwi	żółw
żółwiowy	żółw
karmazynowy	karmazyn
